intent,question,answer,related link
general_greeting,"Hi, hello there!",Hello! How can I help you today?,
general_thanks,Thank you!,You�re welcome! Glad I could assist.,
general_goodbye,Goodbye!,Goodbye! Have a great day ahead.,
,Current hostel prices?,You can view our room profiles here: ,https://www.utp.edu.my/Pages/Students/Student%20Development%20and%20Services/Accommodations.aspx
,V1 single room price?,RM 77.50 per week,
,V1 shared room price?,RM 65.00 per week,
,V2 single room price?,RM 77.50 per week,
,V2 shared room price?,RM 65.00 per week,
,V3 normal room price?,RM 63.70 per week,
,V3 renovated room price?,RM 68.70 per week,
,V3 ac room price?,Non renovated with AC RM 125.00  per week,
,V3 ac room renovated price,Renovated with AC RM 126.25 per week,
,V4 normal room price?,RM 63.70 per week,
,V4 renovated room price?,RM 68.70 per week,
,V4 ac room price?,Non renovated with AC RM 125.00  per week,
,V4 ac room renovated price?,Renovated with AC RM 126.25 per week,
,V5 normal room price?,RM 68.75 per week,
,V5 renovated room price?,RM 63.75 per week,
,V5 ac room price?,RM 126.25 per week,
,V6 single en suite price?,RM 250 per week with personal bathroom,
,V6 shared room price,with ac RM 167.50 per week,
,V7 room price,RM 60 per week,
,Hostel general rules and guidelines? ,You can navigate to here and click the �Residential Village Handbook� tab,https://www.utp.edu.my/Pages/Students/Student%20Development%20and%20Services/Accommodations.aspx
,What can I bring to hostel area?,Toaster,
,,Extension cors,
,,hair styling tool,
,,iron,
,,electric kettle,
,,microwave oven,
,,desk lamp,
,,printer,
,,table fan,
,,power bank/gadget charger,
,,desktop PC,
,What I cannot bring to hostel area?,electric stove,
,,butane/gas stove,
,,air fryer,
,,multipurpose/rice cooker,
,,portable ac/cooler,
,,mini cooker,
,,mini fridge,
,Facilities around campus?,"Mini marts, cafeterias, laundry services, A/C study spaces, Pos Malaysia service, meeting rooms, and sports facilities.",
,New intake student get room?,"For first timers, you will be registering your hostel during New Intake Registration Day. You will receive instructions on how to go through the first registration process.",
,Returning student get room?,"All returning students are required to make hostel booking online in ULife app, through UBooking. The booking period will only be open at specific times during each semester.",
,PHD student get room?,Our hostel on campus is prioritized for UTP Foundation and Undergraduate students. We may offer placement for Postgraduates based on availability. You can make a request using our online form: https://forms.office.com/r/69ayWsi7xJ and our team will get back to you soon. ,https://forms.office.com/r/69ayWsi7xJ
,Invoices?,"For UTP Foundation and Undergraduate students, all accommodation invoices will be issued semesterly through UCampus. For temporary stay category, notice of payment will be issued and required to be paid in full before check-in",
,Late hostel fees payment?,"All fees and invoices will accumulate in the student�s account, which you can check via UCampus student statement. Any financial outstanding, regardless of type of fees and invoices, will result in limited accessibility, such as unable to make new hostel booking, unable to access examination results, unable to proceed for clearance when graduating, etc. For more info regarding financial outstanding, please contact our UTP Finance Department.",
,I want to change room,"Every semester, there will be a specific period where students can submit room change requests via UBooking. Students can submit requests to change either to an available bed or exchange with another friend. After the end of the period, the final room registered in app will be used for invoicing purposes.",
,Can I stay outside UTP?,"UTP is gazetted as Fully Residential campus and all Foundation and Undergraduate students are bound to the Compulsory Stay on Campus mandate, which requires them to stay on campus throughout their official study period in UTP (except during internship). Those who do not register on campus will receive a penalty charge for not adhering to the mandate.",
